"","region","status","species","pop_1","M_all"
"1","C","3.post-observed","PM25",1309409.53000004,3.06279509180201
"2","C","3.post-predicted","PM25",1309409.53000004,3.21467794629178
"3","E","3.post-observed","PM25",2697641.07000009,2.64534052614906
"4","E","3.post-predicted","PM25",2697641.07000009,2.93886879531362
"5","N","3.post-observed","PM25",1918114.52999995,2.41837083881254
"6","N","3.post-predicted","PM25",1918114.52999995,2.5956404613084
"7","NE","3.post-observed","PM25",1000089.76000001,2.34302266966119
"8","NE","3.post-predicted","PM25",1000089.76000001,2.21578530010438
"9","NW","3.post-observed","PM25",764769.279999976,2.39775956128181
"10","NW","3.post-predicted","PM25",764769.279999976,2.44971943693773
"11","S","3.post-observed","PM25",1718373.31999998,1.20889864334034
"12","S","3.post-predicted","PM25",1718373.31999998,1.39794807768367
"13","SE","3.post-observed","PM25",808251.519999998,1.73621262803617
"14","SE","3.post-predicted","PM25",808251.519999998,1.92196294089943
"15","SW","3.post-observed","PM25",1285861.40999999,2.20710016148604
"16","SW","3.post-predicted","PM25",1285861.40999999,2.30261786974611
